OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
FOTU_4341,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4341_unidentified
FOTU_4338,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora_suttonii,FOTU_4338_Cyphellophora_suttonii
FOTU_4351,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4351_Fungi
FOTU_4339,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_4339_Agaricomycetes
FOTU_4342,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4342_unidentified
FOTU_4344,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4344_unidentified
FOTU_4345,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4345_unidentified
FOTU_4346,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4346_unidentified
FOTU_4340,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp,FOTU_4340_Sordariomycetes
FOTU_4347,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4347_unidentified
FOTU_4348,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4348_unidentified
FOTU_4349,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4349_Fungi
FOTU_4350,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4350_Fungi
FOTU_4352,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4352_unidentified
FOTU_4355,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4355_unidentified
FOTU_4356,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4356_unidentified
FOTU_4353,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,unidentified,FOTU_4353_Cladophialophora
FOTU_4357,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4357_unidentified
FOTU_4367,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4367_unidentified
FOTU_4354,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,unidentified,FOTU_4354_Cortinarius
FOTU_4368,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4368_unidentified
FOTU_4360,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4360_unidentified
FOTU_4369,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4369_unidentified
FOTU_4370,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4370_unidentified
FOTU_4361,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4361_unidentified
FOTU_4358,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,unidentified,FOTU_4358_Xylariaceae
FOTU_4365,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4365_unidentified
FOTU_4372,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4372_unidentified
FOTU_4366,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4366_unidentified
FOTU_4371,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4371_unidentified
FOTU_4362,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Taifanglania,Taifanglania_sp,FOTU_4362_Taifanglania_sp
FOTU_4363,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,unidentified,unidentified,FOTU_4363_Clavicipitaceae
FOTU_4374,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4374_unidentified
FOTU_4373,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4373_Fungi
FOTU_4364,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,unidentified,FOTU_4364_Trichoderma
FOTU_4375,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,Ceratobasidiaceae_sp,FOTU_4375_Ceratobasidiaceae
FOTU_4359,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4359_Fungi
FOTU_4381,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4381_unidentified
FOTU_4376,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Macrophomina,Macrophomina_pseudophaseolina,FOTU_4376_Macrophomina_pseudophaseolina
FOTU_4385,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4385_unidentified
FOTU_4377,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon_sp,FOTU_4377_Hypoxylon_sp
FOTU_4378,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4378_unidentified
FOTU_4380,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4380_unidentified
FOTU_4382,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4382_unidentified
FOTU_4383,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4383_unidentified
